Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
17-08-2023,Gasolina Automotriz 97 (*),"6,00","-2,6116","3,3884",UTM/m3
17-08-2023,Petroleo Diesel,"1,50","-1,8145","-0,3145",UTM/m3
17-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4946","0,9054",UTM/m3
17-08-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,7515","1,1785",UTM/1000m3
10-08-2023,Gasolina Automotriz 93 (*),"6,00","-2,2366","3,7634",UTM/m3
10-08-2023,Gasolina Automotriz 97 (*),"6,00","-2,2804","3,7196",UTM/m3
10-08-2023,Petroleo Diesel,"1,50","-1,0096","0,4904",UTM/m3
10-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,3970","1,0030",UTM/m3
10-08-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,6032","1,3268",UTM/1000m3
03-08-2023,Gasolina Automotriz 93 (*),"6,00","-1,5341","4,4659",UTM/m3
03-08-2023,Gasolina Automotriz 97 (*),"6,00","-1,5625","4,4375",UTM/m3
03-08-2023,Petroleo Diesel,"1,50","0,1814","1,6814",UTM/m3
03-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,1546","1,2454",UTM/m3
03-08-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,2349","1,6951",UTM/1000m3
27-07-2023,Gasolina Automotriz 93 (*),"6,00","-1,1043","4,8957",UTM/m3
27-07-2023,Gasolina Automotriz 97 (*),"6,00","-1,1249","4,8751",UTM/m3
27-07-2023,Petroleo Diesel,"1,50","1,1828","2,6828",UTM/m3
27-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4641","0,9359",UTM/m3
27-07-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,7052","1,2248",UTM/1000m3
20-07-2023,Gasolina Automotriz 93 (*),"6,00","-0,6118","5,3882",UTM/m3
20-07-2023,Gasolina Automotriz 97 (*),"6,00","-0,6262","5,3738",UTM/m3
20-07-2023,Petroleo Diesel,"1,50","1,5228","3,0228",UTM/m3
